[Parsed_ebur128_0 @ 0x55e735335380] t: 8.99998    TARGET:-23 LUFS    M: -29.3 S: -29.1     I: -29.5 LUFS       LRA:   3.7 LU  FTPK: -16.9 -15.8 dBFS  TPK: -16.9 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.09998    TARGET:-23 LUFS    M: -27.0 S: -28.7     I: -29.4 LUFS       LRA:   3.7 LU  FTPK: -16.1 -16.4 dBFS  TPK: -16.1 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.19998    TARGET:-23 LUFS    M: -25.9 S: -28.4     I: -29.3 LUFS       LRA:   3.7 LU  FTPK: -18.5 -17.4 dBFS  TPK: -16.1 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.29998    TARGET:-23 LUFS    M: -25.0 S: -28.2     I: -29.1 LUFS       LRA:   3.7 LU  FTPK: -18.8 -18.1 dBFS  TPK: -16.1 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.39998    TARGET:-23 LUFS    M: -26.1 S: -28.1     I: -29.1 LUFS       LRA:   3.6 LU  FTPK: -21.1 -24.5 dBFS  TPK: -16.1 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.49998    TARGET:-23 LUFS    M: -27.5 S: -28.4     I: -29.0 LUFS       LRA:   3.7 LU  FTPK: -24.3 -22.8 dBFS  TPK: -16.1 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.59998    TARGET:-23 LUFS    M: -27.3 S: -28.3     I: -29.0 LUFS       LRA:   3.7 LU  FTPK: -15.8 -16.3 dBFS  TPK: -15.8 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.69998    TARGET:-23 LUFS    M: -25.9 S: -28.0     I: -29.0 LUFS       LRA:   3.7 LU  FTPK: -15.8 -16.2 dBFS  TPK: -15.8 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.79998    TARGET:-23 LUFS    M: -25.1 S: -27.8     I: -28.8 LUFS       LRA:   3.9 LU  FTPK: -16.3 -17.6 dBFS  TPK: -15.8 -15.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.89998    TARGET:-23 LUFS    M: -22.0 S: -26.8     I: -28.6 LUFS       LRA:   4.0 LU  FTPK:  -5.8  -6.3 dBFS  TPK:  -5.8  -6.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 9.99998    TARGET:-23 LUFS    M: -19.2 S: -25.3     I: -28.1 LUFS       LRA:   4.0 LU  FTPK:  -8.5  -8.3 dBFS  TPK:  -5.8  -6.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 10.1       TARGET:-23 LUFS    M: -18.2 S: -24.5     I: -27.6 LUFS       LRA:   4.0 LU  FTPK:  -8.6 -10.0 dBFS  TPK:  -5.8  -6.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 10.2       TARGET:-23 LUFS    M: -15.6 S: -22.8     I: -26.8 LUFS       LRA:   4.2 LU  FTPK:  -1.7  -1.8 dBFS  TPK:  -1.7  -1.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 10.3       TARGET:-23 LUFS    M: -12.0 S: -19.8     I: -25.4 LUFS       LRA:   5.3 LU  FTPK:  -1.7  -1.8 dBFS  TPK:  -1.7  -1.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 10.4       TARGET:-23 LUFS    M: -11.8 S: -19.3     I: -23.9 LUFS       LRA:   6.6 LU  FTPK:  -3.9  -4.8 dBFS  TPK:  -1.7  -1.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 10.5       TARGET:-23 LUFS    M: -11.8 S: -19.1     I: -22.9 LUFS       LRA:   7.4 LU  FTPK:  -8.6  -8.2 dBFS  TPK:  -1.7  -1.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 10.6       TARGET:-23 LUFS    M: -12.3 S: -18.9     I: -22.2 LUFS       LRA:   9.1 LU  FTPK:  -8.5  -7.0 dBFS  TPK:  -1.7  -1.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 10.7       TARGET:-23 LUFS    M: -16.4 S: -18.8     I: -22.0 LUFS       LRA:  12.0 LU  FTPK: -12.1 -10.6 dBFS  TPK:  -1.7  -1.8 dBFS
